strategy,experiment,model,target,target_label_mapping,low_target,high_target,low_threshold,high_threshold,n_rows,n_train,n_test,n_features,n_classes,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc,true_negative,false_positive,false_negative,true_positive
threshold_cascade,metadata,logistic_regression,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,122,3,0.5419847328244275,0.5146370023419203,0.49439219784047367,0.5146370023419203,0.501991328896955,0.49439219784047367,0.5146370023419203,0.501991328896955,0.5486722981326825,0.5419847328244275,0.5439462370060449,,,,,
threshold_cascade,metadata,decision_tree,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,122,3,0.48091603053435117,0.5056596409055425,0.46369395711500977,0.5056596409055425,0.45210449927431057,0.46369395711500977,0.5056596409055425,0.45210449927431057,0.5483683764117673,0.48091603053435117,0.49915243909194656,,,,,
threshold_cascade,metadata,random_forest,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,122,3,0.6412213740458015,0.5876268540202967,0.6305555555555555,0.5876268540202967,0.604188790560472,0.6305555555555555,0.5876268540202967,0.604188790560472,0.6401399491094147,0.6412213740458015,0.6389596703370939,,,,,
threshold_cascade,metadata,dnn_mlp,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,122,3,0.5419847328244275,0.4393052302888368,0.5337977296181631,0.4393052302888368,0.45077098382235165,0.5337977296181631,0.4393052302888368,0.45077098382235165,0.5438458629735542,0.5419847328244275,0.5285718112770144,,,,,
threshold_cascade,metadata_title,logistic_regression,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,139,3,0.5190839694656488,0.5146370023419203,0.4774087024087024,0.5146370023419203,0.48615312226927476,0.4774087024087024,0.5146370023419203,0.48615312226927476,0.5402507162049147,0.5190839694656488,0.525743924609277,,,,,
threshold_cascade,metadata_title,decision_tree,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,139,3,0.5038167938931297,0.5394223263075723,0.48628503279666074,0.5394223263075723,0.4796436339799171,0.48628503279666074,0.5394223263075723,0.4796436339799171,0.5647660080022943,0.5038167938931297,0.5192862762598628,,,,,
threshold_cascade,metadata_title,random_forest,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,139,3,0.5954198473282443,0.5355191256830601,0.5847900702426564,0.5355191256830601,0.552787185354691,0.5847900702426564,0.5355191256830601,0.552787185354691,0.5939085760872744,0.5954198473282443,0.5921173860638984,,,,,
threshold_cascade,metadata_title,dnn_mlp,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,139,3,0.5572519083969466,0.43335284933645596,0.46511922881785894,0.43335284933645596,0.4310668877833057,0.46511922881785894,0.43335284933645596,0.4310668877833057,0.5367272009016233,0.5572519083969466,0.5394123529933033,,,,,
threshold_cascade,metadata_poster,logistic_regression,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,133,3,0.5343511450381679,0.5101483216237315,0.4819047619047619,0.5101483216237315,0.48935043417802043,0.4819047619047619,0.5101483216237315,0.48935043417802043,0.5477862595419848,0.5343511450381679,0.5368961485834347,,,,,
threshold_cascade,metadata_poster,decision_tree,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,133,3,0.48091603053435117,0.5080991412958625,0.44655224330021076,0.5080991412958625,0.45687868643392315,0.44655224330021076,0.5080991412958625,0.45687868643392315,0.4963004337422509,0.48091603053435117,0.475772211696073,,,,,
threshold_cascade,metadata_poster,random_forest,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,133,3,0.6030534351145038,0.5236143637782983,0.6225808287795993,0.5236143637782983,0.5471908831908832,0.6225808287795993,0.5236143637782983,0.5471908831908832,0.6067496506486463,0.6030534351145038,0.5960921250081554,,,,,
threshold_cascade,metadata_poster,dnn_mlp,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,133,3,0.5343511450381679,0.415495706479313,0.47312368972746327,0.415495706479313,0.4138783953948552,0.47312368972746327,0.415495706479313,0.4138783953948552,0.5197311440779682,0.5343511450381679,0.5149468779738241,,,,,
threshold_cascade,all,logistic_regression,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,150,3,0.5267175572519084,0.5220530835284933,0.488562091503268,0.5220530835284933,0.49932386747802565,0.488562091503268,0.5220530835284933,0.49932386747802565,0.5352941176470588,0.5267175572519084,0.5274220770171716,,,,,
threshold_cascade,all,decision_tree,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,150,3,0.48091603053435117,0.5080991412958625,0.44655224330021076,0.5080991412958625,0.45687868643392315,0.44655224330021076,0.5080991412958625,0.45687868643392315,0.4963004337422509,0.48091603053435117,0.475772211696073,,,,,
threshold_cascade,all,random_forest,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,150,3,0.6183206106870229,0.552888368462139,0.6471230158730159,0.552888368462139,0.5797876299945265,0.6471230158730159,0.552888368462139,0.5797876299945265,0.6235527989821883,0.6183206106870229,0.6140787926647364,,,,,
threshold_cascade,all,dnn_mlp,success_rank_code,0:C|1:B|2:A,is_success_1000000,is_success_5000000,0.5,0.5,654,523,131,150,3,0.5190839694656488,0.38231850117096017,0.36131876557408477,0.38231850117096017,0.35555555555555557,0.36131876557408477,0.38231850117096017,0.35555555555555557,0.4820485582220193,0.5190839694656488,0.47863416235738326,,,,,
